"Customer switch over to Liqpay payment interface.","Клиент переслан на сайт платежного сервиса LiqPAY."
"English","Английский"
"Russian","Русский"
"Order","Заказ"
"Data or signature is empty","Данные или подпись пусты"
"Order id is not set","Номер заказа не задан"
"Cannot load order","Не удается загрузить заказ"
"Security check failed!","Проверка безопасности не удалась!"
"Invoice #%s created.","Заказ #%s создан."
"Invoice #%s created (sandbox).","Заказ #%s создан (sandbox)."
"Error during creation of invoice.","Ошибка при создании счета-фактуры."
"Liqpay error.","Ошибка Liqpay."
"Waiting for verification from the Liqpay side.","В ожидании проверки со стороны Liqpay."
"Waiting for accepting from the buyer side.","В ожидании подтверждения со стороны покупателя."
"Unexpected status from server: %s","Неожиданный статус сервера: %s"
"Invoice was placed in sandbox mode.","Счет был размещен в изолированном режиме."
"Customer successfully got back from Liqpay payment interface.","Клиент успешно вернулся из платежного сервиса LiqPAY."
"You will be redirected to the Liqpay website in a few seconds.","Через несколько секунд Вы будете перенаправлены на сайт платежного сервиса Liqpay."
"Visa / MasterCard credit cards payment effected through the LiqPay payment system.","Оплата Visa / MasterCard будет произведено через сайт платежной системы LiqPay."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Ввод данных кредитной карты будет прозведен на сайте платежного сервиса LiqPAY. После подтверждения Вашего заказа Вы будете перенаправлены на сайт оплаты."
